time,max,min
2019-10-15,,
2019-10-16,,
2019-10-17,,
2019-10-18,,
2019-10-19,,
2019-10-20,,
2019-10-21,,
2019-10-22,,
2019-10-23,,
2019-10-24,,
2019-10-25,,
2019-10-26,,
2019-10-27,,
2019-10-28,,
2019-10-29,,
2019-10-30,,
2019-10-31,,
2019-11-01,,
2019-11-02,,
2019-11-03,,
2019-11-04,,
2019-11-05,,
2019-11-06,,
2019-11-07,,
2019-11-08,,
2019-11-09,,
2019-11-10,,
2019-11-11,,
2019-11-12,,
2019-11-13,,
2019-11-14,,
2019-11-15,,
2019-11-16,,
2019-11-17,,
2019-11-18,,
2019-11-19,,
2019-11-20,,
2019-11-21,,
2019-11-22,,
2019-11-23,,
2019-11-24,,
2019-11-25,,
2019-11-26,,
2019-11-27,,
2019-11-28,,
2019-11-29,,
2019-11-30,,
2019-12-01,,
2019-12-02,,
2019-12-03,,
2019-12-04,,
2019-12-05,,
2019-12-06,,
2019-12-07,,
2019-12-08,,
2019-12-09,,
2019-12-10,,
2019-12-11,,
2019-12-12,,
2019-12-13,,
2019-12-14,,
2019-12-15,,
2019-12-16,,
2019-12-17,,
2019-12-18,12.3,9.8
2019-12-19,11.4,9.0
2019-12-20,12.1,10.0
2019-12-21,11.7,10.5
2019-12-22,12.1,10.6
2019-12-23,12.5,11.6
2019-12-24,12.4,11.5
2019-12-25,12.6,11.8
2019-12-26,13.2,10.3
2019-12-27,13.9,8.0
2019-12-28,11.8,10.8
2019-12-29,14.0,11.4
2019-12-30,13.6,13.0
2019-12-31,13.0,8.8
2020-01-01,10.5,7.9
2020-01-02,10.75,10.15
2020-01-03,13.9,10.649999999999999
2020-01-04,15.8,8.700000000000001
2020-01-05,17.8,11.9
2020-01-06,16.733333333333334,11.933333333333332
2020-01-07,17.833333333333332,15.300000000000002
2020-01-08,19.63333366666667,15.666666666666666
2020-01-09,17.23333333333333,15.766666666666666
2020-01-10,13.899999999999999,13.200000000000001
2020-01-11,12.733333333333334,6.725
2020-01-12,6.025,4.6
2020-01-13,8.075,1.85
2020-01-14,32.150000000000006,4.95
2020-01-15,10.299999999999999,8.075
2020-01-16,8.3,7.35
2020-01-17,9.175,7.1
2020-01-18,9.4,8.575
2020-01-19,12.024999999999999,8.325
2020-01-20,12.0,8.625
2020-01-21,11.833333333333334,11.299999999999999
2020-01-22,11.5,10.666666666666666
2020-01-23,10.833333333333334,10.1
2020-01-24,10.533333333333333,9.733333333333334
2020-01-25,9.733333333333334,8.466666666666667
2020-01-26,8.633333333333333,8.1
2020-01-27,8.9,7.900000000000001
2020-01-28,10.066666666666668,6.733333333333334
2020-01-29,10.9,6.866666666666667
2020-01-30,11.866666666666667,7.533333333333334
2020-01-31,12.299999999999999,8.133333333333335
2020-02-01,12.75,11.55
2020-02-02,11.833333333333334,11.133333333333335
2020-02-03,12.733333333333334,11.699999999999998
2020-02-04,14.866666666666665,12.633333333333333
2020-02-05,19.2,15.5
2020-02-06,18.133333333333336,15.6
2020-02-07,16.833333333333332,15.9
2020-02-08,18.333333666666665,16.900000000000002
2020-02-09,18.833333333333332,11.3
2020-02-10,16.8,15.566666666666668
2020-02-11,15.299999999999999,13.766666666666666
2020-02-12,13.699999999999998,12.033333333333333
2020-02-13,17.400000000000002,13.799999999999999
2020-02-14,19.933333333333334,16.099999999999998
2020-02-15,16.333333333333332,8.566666666666668
2020-02-16,11.4,8.233333333333333
2020-02-17,13.1,8.566666666666668
2020-02-18,14.066666666666668,9.433333333333332
2020-02-19,13.9,11.733333333333334
2020-02-20,15.700000000000001,10.366666666666665
2020-02-21,15.066666666666668,13.4
2020-02-22,14.466666666666667,12.0
2020-02-23,16.933333333333334,12.866666666666667
2020-02-24,21.55,15.333333333333334
2020-02-25,20.4,18.7
2020-02-26,19.03333333333333,16.099999999999998
2020-02-27,16.099999999999998,14.566666666666668
2020-02-28,14.6,12.566666666666668
2020-02-29,12.9,12.1
2020-03-01,15.2,12.899999999999999
2020-03-02,13.233333333333334,12.4
2020-03-03,12.666666666666666,11.166666666666666
2020-03-04,13.966666666666667,13.0
2020-03-05,19.900000000000002,16.900000000000002
2020-03-06,18.833333333333332,13.649999999999999
2020-03-07,19.900000000000002,18.599999999999998
2020-03-08,22.600000333333337,20.76666666666667
2020-03-09,21.53333333333333,15.649999999999999
2020-03-10,18.700000000000003,15.575
2020-03-11,17.8,14.825
2020-03-12,15.125,13.524999999999999
2020-03-13,17.625,15.475000000000001
2020-03-14,18.625,14.125
2020-03-15,19.599999999999998,13.425
2020-03-16,18.666666666666668,16.833333333333332
2020-03-17,19.2,16.325000000000003
2020-03-18,20.875,16.05
2020-03-19,22.899999999999995,16.925
2020-03-20,24.133333333333336,17.65
2020-03-21,26.166666666666668,20.900000000000002
2020-03-22,24.53333333333333,20.366666666666664
2020-03-23,21.15,19.45
2020-03-24,21.225,19.375
2020-03-25,24.266666666666666,20.05
2020-03-26,23.96666666666667,22.133333333333336
2020-03-27,22.53333333333333,13.05
2020-03-28,13.15,12.1
2020-03-29,12.975,12.25
2020-03-30,13.450000000000001,12.025
2020-03-31,15.1,12.625
2020-04-01,16.533333333333335,12.633333333333335
